us_rank,university_name,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,HIGHDEG,ADM_RATE,ADM_RATE_ALL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN
1,California Institute of Technology,96.3,59.8,99.4,99.7,95.6,95.5,2243,6.9,27%,33 : 67,4,0.1055,0.1055,720,800,770,800,720,790,760,785,755,33,35,33,35,34,36,8,10,34,34,35,9,1534,1534,977,0.304,0.0174,0.1003,0.4248,0.0031,0,0.0594,0.089,0.002
2,Stanford University,95,56.6,98.8,99.3,62.4,93.7,15596,7.8,22%,42 : 58,4,0.0569,0.0569,680,780,700,790,690,780,730,745,735,31,34,32,35,31,35,NULL,NULL,33,34,33,NULL,1466,1466,6980,0.3702,0.063,0.1688,0.1908,0.009,0.0037,0.1079,0.0809,0.0056
3,Harvard University,94.9,63.7,98.6,99.2,39.9,93.6,20152,8.9,25%,,4,0.0584,0.0584,700,800,710,800,710,800,750,755,755,32,35,33,35,31,35,8,10,34,34,33,9,1501,1501,7278,0.4624,0.0653,0.0933,0.1777,0.0022,0.0008,0.0599,0.1028,0.0357
4,Massachusetts Institute of Technology,92.9,81.6,89.2,99.9,92.9,93.1,11074,9,33%,37 : 63,4,0.0815,0.0815,680,770,750,800,690,780,725,775,735,33,35,33,35,34,36,8,10,34,34,35,9,1503,1503,4510,0.3707,0.053,0.1643,0.2404,0.0027,0,0.0508,0.096,0.0222
5,Princeton University,89.5,54.5,99.4,99.8,79.5,92.7,7929,8.4,27%,45 : 55,4,0.0741,0.0741,700,800,710,800,710,790,750,755,750,31,35,32,35,30,35,8,10,33,34,33,9,1495,1495,5234,0.4713,0.0764,0.081,0.2008,0.0008,0.0006,0.0417,0.1087,0.0187
6,"University of California, Berkeley",85.1,49.7,99.3,99.3,65.4,90.5,36186,16.4,15%,50 : 50,4,0.18,0.18,590,720,630,770,620,750,655,700,685,27,33,26,34,27,34,NULL,NULL,30,30,31,NULL,1350,1350,25951,0.2857,0.0221,0.132,0.3494,0.0012,0.0028,0.0453,0.1313,0.0304
7,University of Chicago,89.6,55.3,92.9,98.7,-,90.4,14221,6.9,21%,42 : 58,4,0.0881,0.0881,720,800,720,790,700,780,760,755,740,32,35,33,35,31,35,8,10,34,34,33,9,1504,1504,5697,0.4546,0.0453,0.0869,0.1813,0.0018,0.0005,0.0374,0.0937,0.0985
8,Yale University,93.2,54.7,92.5,94.8,38.2,89.2,11751,4.4,20%,50 : 50,4,0.0705,0.0705,700,800,710,790,710,800,750,750,755,32,35,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,1497,1497,5422,0.4734,0.0673,0.1013,0.1645,0.0057,0.0006,0.0598,0.1051,0.0223
9,"University of California, Los Angeles",87.3,42.3,93.8,95.9,-,87.7,38206,10.3,15%,52 : 48,4,0.2199,0.2199,560,680,600,760,590,710,620,680,650,25,31,24,32,25,33,NULL,NULL,28,28,29,NULL,1289,1289,28667,0.2859,0.0261,0.1842,0.3099,0.0012,0.0036,0.0482,0.1176,0.0234
10,Columbia University,89.7,66.1,82,96.1,-,87,25055,5.9,28%,,4,0.0742,0.0742,690,780,700,790,690,780,735,745,735,31,34,32,35,29,35,8,10,33,34,32,9,1471,1471,7970,0.3922,0.0749,0.1358,0.1709,0.0055,0.0014,0.0449,0.1368,0.0376
